GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api.village-devin,com.api.villagedevin.config,RabbitMQConfig,0,79,0,0,0,13,0,8,0,8
api.village-devin,com.api.villagedevin.config,SecurityConfig,0,120,0,0,0,22,0,7,0,7
api.village-devin,com.api.villagedevin.config,DevConfig,0,17,0,0,0,5,0,2,0,2
api.village-devin,com.api.villagedevin.config,TestConfig,8,0,0,0,2,0,2,0,2,0
api.village-devin,com.api.villagedevin.controller,AuthRest,28,9,0,0,7,4,2,1,2,1
api.village-devin,com.api.villagedevin.controller,CitizenRest,47,6,0,0,10,3,10,1,10,1
api.village-devin,com.api.villagedevin.controller,UserRest,23,6,0,0,5,3,4,1,4,1
api.village-devin,com.api.villagedevin.controller,VillageReportRest,6,6,0,0,2,3,1,1,1,1
api.village-devin,com.api.villagedevin.model.transport,CreateCitizenAndUserDTO,192,0,6,0,62,0,28,0,25,0
api.village-devin,com.api.villagedevin.model.transport,VillageReportDTO,56,0,0,0,21,0,11,0,11,0
api.village-devin,com.api.villagedevin.model.transport,CitizenDetailDTO,63,0,0,0,26,0,13,0,13,0
api.village-devin,com.api.villagedevin.model.transport,MailDTO,10,0,0,0,4,0,3,0,3,0
api.village-devin,com.api.villagedevin.model.transport,GerarPdfDTO,24,0,0,0,10,0,7,0,7,0
api.village-devin,com.api.villagedevin.model.transport,AMQPMessageWrapper,43,0,0,0,17,0,9,0,9,0
api.village-devin,com.api.villagedevin.model.transport,UserDTO,64,15,6,0,23,5,13,1,10,1
api.village-devin,com.api.villagedevin.model.transport,CitizenDTO,190,0,12,0,56,0,30,0,24,0
api.village-devin,com.api.villagedevin.model.transport,CredentialsDTO,17,0,0,0,7,0,5,0,5,0
api.village-devin,com.api.villagedevin.model.persistence,UserSpringSecurity,53,0,0,0,18,0,10,0,10,0
api.village-devin,com.api.villagedevin.model.persistence,Citizen,92,3,0,0,30,2,16,1,16,1
api.village-devin,com.api.villagedevin.model.persistence,User,107,37,6,0,33,17,13,9,10,9
api.village-devin,com.api.villagedevin,Application,5,3,0,0,2,1,1,1,1,1
api.village-devin,com.api.villagedevin.consumers,VillageReportPDFConsumer,57,9,2,0,18,4,3,1,2,1
api.village-devin,com.api.villagedevin.utils,JWTUtil,74,9,10,0,17,4,9,1,4,1
api.village-devin,com.api.villagedevin.utils,ValidationUtil,33,30,6,4,10,9,6,4,3,2
api.village-devin,com.api.villagedevin.filters,JWTAuthorizationFilter,54,10,8,0,15,4,6,1,2,1
api.village-devin,com.api.villagedevin.filters,JWTAuthenticationFilter.JWTAuthenticationFailureHandler,46,6,0,0,12,1,2,1,2,1
api.village-devin,com.api.villagedevin.filters,JWTAuthenticationFilter,51,15,0,0,12,5,2,1,2,1
api.village-devin,com.api.villagedevin.service,AbstractEmailService,47,6,0,0,13,3,3,1,3,1
api.village-devin,com.api.villagedevin.service,UserService,97,153,4,12,22,37,8,11,5,6
api.village-devin,com.api.villagedevin.service,VillageReportPDFService,56,13,0,0,19,5,4,1,4,1
api.village-devin,com.api.villagedevin.service,AuthService,133,16,2,0,29,6,4,1,3,1
api.village-devin,com.api.villagedevin.service,MockEmailService,19,0,0,0,7,0,3,0,3,0
api.village-devin,com.api.villagedevin.service,CitizenService,509,13,46,0,118,5,35,1,12,1
api.village-devin,com.api.villagedevin.service,SmtpEmailService,11,11,0,0,4,4,1,2,1,2
